Date,AGT,AD,WEED,CSH.UN,CSU,DOL,H,KXS,MFI,NPI,PKI,RY,SU,SPB,TCS,TVK,X,ZYME,Market,RiskFree
5/23/2014,0.633410987,0.198569425,-0.260536398,0.129198587,1.131368752,0.609968596,NA,NA,0.374413592,-0.012733684,0.286621242,0.107577864,-0.104392902,0.062127531,0.375263454,0.083043811,-0.074940571,NA,0.235930686,1.672
5/26/2014,0.632953757,0.175736809,-0.320284698,0.113972182,1.169997351,0.588452761,NA,NA,0.350103308,-0.027112497,0.263700937,0.098101276,-0.12004585,0.047349437,0.369571984,0.105826668,-0.081959946,NA,0.224424232,1.672
5/27/2014,0.654082449,0.176345281,-0.37704918,0.123548772,1.083266719,0.608541267,NA,NA,0.331260634,-0.026577477,0.256870521,0.102182531,-0.108942846,0.062201532,0.376773123,0.097018195,-0.093140387,NA,0.217758742,1.702
5/28/2014,0.648239578,0.196703803,-0.389240506,0.106113464,1.107480659,0.601137585,NA,NA,0.374284738,-0.016519258,0.223253923,0.106048504,-0.104098812,0.080542676,0.38075055,0.097110273,-0.084734425,NA,0.22180485,1.709
5/29/2014,0.757869094,0.200735428,-0.37704918,0.083584001,1.08615871,0.560044765,NA,NA,0.248375954,-0.003151323,0.235858662,0.09835366,-0.104571849,0.077902683,0.392809266,0.152514019,-0.072283738,NA,0.222476677,1.674
5/30/2014,0.750190347,0.234826248,-0.378737542,0.099812695,1.123984493,0.605643736,NA,NA,0.280176946,0.004774352,0.221123578,0.096780097,-0.108940833,0.078721222,0.346168068,0.177923366,-0.088977468,NA,0.229564621,1.642
6/2/2014,0.706945024,0.253343735,-0.372881356,0.062672939,1.133661924,0.582274564,NA,NA,0.282129582,-0.01340138,0.24902814,0.100658863,-0.114752145,0.075269182,0.368166556,0.161588835,-0.082148991,NA,0.226170365,1.632
6/3/2014,0.703170931,0.26343695,-0.386440678,0.03866555,1.159279302,0.600434124,NA,NA,0.284364002,0.003221264,0.244731074,0.118013426,-0.114623776,0.057468617,0.35348664,0.171885207,-0.114600096,NA,0.225499502,1.631
6/4/2014,0.728604217,0.221002775,-0.366197183,0.044402804,1.198763845,0.570012196,NA,NA,0.264890672,-0.029285023,0.227555448,0.109195053,-0.125604867,0.072472606,0.378282792,0.149108371,-0.119500897,NA,0.221580187,1.646
6/5/2014,0.708633806,0.180592181,-0.35,0.033923228,1.16543304,0.573721393,NA,NA,0.270431436,-0.049061138,0.231512205,0.108254326,-0.125838092,0.07878627,0.399522658,0.146436211,-0.131665965,NA,0.216045437,1.65
